,province_1,province_2,locality,street,lat,lon
8023,Центральный федеральный округ,Москва,Москва,улица Остоженка,55.739666,37.59604
8024,Центральный федеральный округ,Москва,Москва,улица Остоженка,55.739666,37.59604
8025,Центральный федеральный округ,Москва,Москва,улица Высоцкого,55.74373,37.652903
8026,Центральный федеральный округ,Москва,Москва,Столярный переулок,55.764729,37.571641
8027,Центральный федеральный округ,Москва,Москва,2-я Брестская улица,55.77119,37.590749
8028,Центральный федеральный округ,Москва,Москва,Нижний Сусальный переулок,55.760287,37.665408
8029,Центральный федеральный округ,Москва,Москва,4-й Сыромятнический переулок,55.755657,37.665866
8030,Центральный федеральный округ,Москва,Москва,Трубная улица,55.77118,37.625504
8031,Центральный федеральный округ,Москва,Москва,Новослободская улица,55.785129,37.596794
8032,Центральный федеральный округ,Москва,Москва,Рочдельская улица,55.756614,37.559954
8033,Центральный федеральный округ,Москва,Москва,Рочдельская улица,55.756873,37.564886
8034,Центральный федеральный округ,Москва,Москва,Рочдельская улица,55.756873,37.564886
8035,Центральный федеральный округ,Москва,Москва,улица Зацепский Вал,55.733356,37.640434
8036,Центральный федеральный округ,Москва,Москва,улица Петровка,55.761806,37.617456
8037,Центральный федеральный округ,Москва,Москва,Пушкарёв переулок,55.768972,37.627705
8038,Центральный федеральный округ,Москва,Москва,проспект Мира,55.777261,37.636401
8039,Центральный федеральный округ,Москва,Москва,проспект Мира,55.777302,37.634416
8040,Центральный федеральный округ,Москва,Москва,Тверской бульвар,55.758534,37.598834
8041,Центральный федеральный округ,Москва,Москва,переулок Красина,55.767403,37.581451
8042,Центральный федеральный округ,Москва,Москва,Новинский бульвар,55.75783,37.582511
8043,Центральный федеральный округ,Москва,Москва,Новинский бульвар,55.75783,37.582511
8044,Центральный федеральный округ,Москва,Москва,Новинский бульвар,55.75783,37.582511
8045,Центральный федеральный округ,Москва,Москва,Новинский бульвар,55.75783,37.582511
8046,Центральный федеральный округ,Москва,Москва,Новинский бульвар,55.75783,37.582511
8047,Центральный федеральный округ,Москва,Москва,Воронцовская улица,55.73222,37.665093
8048,Центральный федеральный округ,Москва,Москва,улица Коровий Вал,55.728961,37.61777
8049,Центральный федеральный округ,Москва,Москва,Комсомольский проспект,55.727572,37.581236
8050,Центральный федеральный округ,Москва,Москва,Спартаковская площадь,55.777991,37.680706
8051,Центральный федеральный округ,Москва,Москва,Сретенский бульвар,55.766911,37.632727
8052,Центральный федеральный округ,Москва,Москва,Страстной бульвар,55.766258,37.610826
8053,Центральный федеральный округ,Москва,Москва,Страстной бульвар,55.766258,37.610826
8054,Центральный федеральный округ,Москва,Москва,Страстной бульвар,55.766258,37.610826
8055,Центральный федеральный округ,Москва,Москва,Космодамианская набережная,55.733249,37.646597
8056,Центральный федеральный округ,Москва,Москва,Космодамианская набережная,55.733249,37.646597
8057,Центральный федеральный округ,Москва,Москва,Космодамианская набережная,55.733249,37.646597
8058,Центральный федеральный округ,Москва,Москва,Космодамианская набережная,55.733249,37.646597
8059,Центральный федеральный округ,Москва,Москва,Космодамианская набережная,55.733249,37.646597
8060,Центральный федеральный округ,Москва,Москва,Столешников переулок,55.762515,37.614734
8061,Центральный федеральный округ,Москва,Москва,улица Радио,55.76444,37.671804
8062,Центральный федеральный округ,Москва,Москва,2-я Звенигородская улица,55.762242,37.555885
8063,Центральный федеральный округ,Москва,Москва,Большой Спасоглинищевский переулок,55.754507,37.637335
8064,Центральный федеральный округ,Москва,Москва,Пятницкая улица,55.730167,37.625226
8065,Центральный федеральный округ,Москва,Москва,Ладожская улица,55.771585,37.68173
8066,Центральный федеральный округ,Москва,Москва,Ладожская улица,55.771585,37.68173
8067,Центральный федеральный округ,Москва,Москва,улица Пресненский Вал,55.764526,37.564563
8068,Центральный федеральный округ,Москва,Москва,Большой Спасоглинищевский переулок,55.7544,37.636958
8069,Центральный федеральный округ,Москва,Москва,Большой Спасоглинищевский переулок,55.7544,37.636958
8070,Центральный федеральный округ,Москва,Москва,улица Большая Дмитровка,55.759684,37.61671
8071,Центральный федеральный округ,Москва,Москва,Павелецкая площадь,55.731622,37.640973
8072,Центральный федеральный округ,Москва,Москва,Краснопролетарская улица,55.779995,37.605768
8073,Центральный федеральный округ,Москва,Москва,1-я Тверская-Ямская улица,55.770284,37.597118
8074,Центральный федеральный округ,Москва,Москва,1-я Тверская-Ямская улица,55.770284,37.597118
8075,Центральный федеральный округ,Москва,Москва,Ленинский проспект,55.727587,37.605903
8076,Центральный федеральный округ,Москва,Москва,2-я Звенигородская улица,55.762561,37.556918
8077,Центральный федеральный округ,Москва,Москва,Большая Переяславская улица,55.786161,37.641369
8078,Центральный федеральный округ,Москва,Москва,Павелецкая площадь,55.730213,37.635916
8079,Центральный федеральный округ,Москва,Москва,Павелецкая площадь,55.730213,37.635916
8080,Центральный федеральный округ,Москва,Москва,Павелецкая площадь,55.730213,37.635916
8081,Центральный федеральный округ,Москва,Москва,Павелецкая площадь,55.730213,37.635916
8082,Центральный федеральный округ,Москва,Москва,Николоямская улица,55.746943,37.65443
8083,Центральный федеральный округ,Москва,Москва,Николоямская улица,55.746943,37.65443
8084,Центральный федеральный округ,Москва,Москва,Вознесенский переулок,55.760651,37.607547
8085,Центральный федеральный округ,Москва,Москва,Денежный переулок,55.745412,37.58676
8086,Центральный федеральный округ,Москва,Москва,улица Арбат,55.751812,37.599292
8087,Центральный федеральный округ,Москва,Москва,улица Арбат,55.751812,37.599292
8088,Центральный федеральный округ,Москва,Москва,улица Арбат,55.751812,37.599292
8089,Центральный федеральный округ,Москва,Москва,улица Арбат,55.751812,37.599292
8090,Центральный федеральный округ,Москва,Москва,Нижняя Красносельская улица,55.774872,37.671804
8091,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.783094,37.660386
8092,Центральный федеральный округ,Москва,Москва,проспект Мира,55.791208,37.633823
8093,Центральный федеральный округ,Москва,Москва,Нижний Сусальный переулок,55.760444,37.662344
8094,Центральный федеральный округ,Москва,Москва,Нижний Сусальный переулок,55.760444,37.662344
8095,Центральный федеральный округ,Москва,Москва,Нижний Сусальный переулок,55.761279,37.663018
8096,Центральный федеральный округ,Москва,Москва,Нижний Сусальный переулок,55.761279,37.663018
8097,Центральный федеральный округ,Москва,Москва,Нижний Сусальный переулок,55.761279,37.663018
8098,Центральный федеральный округ,Москва,Москва,Нижний Сусальный переулок,55.761279,37.663018
8099,Центральный федеральный округ,Москва,Москва,Краснопресненская набережная,55.754821,37.56538
8100,Центральный федеральный округ,Москва,Москва,Комсомольская площадь,55.773611,37.65567
8101,Центральный федеральный округ,Москва,Москва,улица Красная Пресня,55.762085,37.570501
8102,Центральный федеральный округ,Москва,Москва,улица Чаплыгина,55.763098,37.648618
8103,Центральный федеральный округ,Москва,Москва,Лесная улица,55.777251,37.586006
8104,Центральный федеральный округ,Москва,Москва,улица Щепкина,55.787599,37.630176
8105,Центральный федеральный округ,Москва,Москва,Новослободская улица,55.781696,37.599364
8106,Центральный федеральный округ,Москва,Москва,Новослободская улица,55.781696,37.599364
8107,Центральный федеральный округ,Москва,Москва,улица Климашкина,55.767706,37.56847
8108,Центральный федеральный округ,Москва,Москва,2-я Звенигородская улица,55.76135,37.551708
8109,Центральный федеральный округ,Москва,Москва,Новолесная улица,55.781737,37.592375
8110,Центральный федеральный округ,Москва,Москва,Трубецкая улица,55.727668,37.574875
8111,Центральный федеральный округ,Москва,Москва,улица Каретный Ряд,55.771585,37.609092
